baths,beds,cats_allowed,comes_furnished,dogs_allowed,electric_vehicle_charge,id,lat,laundry_options,long,parking_options,price,region,smoking_allowed,sqfeet,state,type,wheelchair_access
2,2,0,1,1,0,7024039405,58.2522,w/d in unit,-134.309,attached garage,2300,southeast alaska,0,2000,ak,house,1
1,1,0,0,0,0,7005828053,58.285,w/d in unit,-134.417,off-street parking,1325,southeast alaska,1,548,ak,apartment,0
1,1,0,0,0,0,7026125949,58.4777,laundry in bldg,-134.291,street parking,1200,southeast alaska,1,600,ak,apartment,0
1,2,0,1,0,0,7026650221,58.2781,w/d in unit,-134.4,off-street parking,1750,southeast alaska,1,1000,ak,apartment,0
2,3,1,0,0,0,7027349078,58.3628,w/d in unit,-134.529,off-street parking,1575,southeast alaska,1,1500,ak,manufactured,0
1,2,0,0,0,0,7013579066,58.3019,w/d in unit,-134.42,off-street parking,1275,southeast alaska,1,1000,ak,apartment,0
1,2,0,1,0,0,7031071623,58.3958,w/d in unit,-134.763,off-street parking,1900,southeast alaska,0,1100,ak,duplex,0
1,2,0,0,0,0,7032422997,58.3628,w/d in unit,-134.529,off-street parking,1300,southeast alaska,0,900,ak,apartment,0
2,3,1,1,1,0,7032622925,58.3038,w/d in unit,-134.451,detached garage,2200,southeast alaska,0,1400,ak,house,0
1,1,0,0,0,0,7032980985,37.0984,w/d in unit,-95.7902,off-street parking,1050,southeast alaska,1,600,ak,apartment,0
1,2,1,0,0,0,7033068968,58.3628,laundry in bldg,-134.529,carport,1500,southeast alaska,1,750,ak,apartment,0
3,4,0,0,1,0,7035377615,58.3947,w/d in unit,-134.56,attached garage,2500,southeast alaska,0,2050,ak,house,0
1.5,4,0,0,0,0,7035425033,57.0546,w/d in unit,-135.343,off-street parking,1800,southeast alaska,0,1600,ak,townhouse,0
1,2,0,1,0,0,7036667968,55.4752,w/d in unit,-133.144,street parking,1500,southeast alaska,0,900,ak,apartment,0
1,1,0,0,0,0,7037964884,58.3628,w/d in unit,-134.529,off-street parking,1150,southeast alaska,0,715,ak,apartment,0
2.5,4,0,0,0,0,7022587614,55.5526,w/d in unit,-133.055,carport,1800,southeast alaska,1,2000,ak,house,0
1.5,2,1,0,1,0,7038722608,58.3807,laundry on site,-134.577,carport,1800,southeast alaska,0,1000,ak,condo,0
2,2,0,0,1,0,7034322781,58.3554,w/d in unit,-134.494,off-street parking,1950,southeast alaska,0,1200,ak,condo,0
1,2,1,0,0,0,7038768321,58.3847,w/d in unit,-134.57,attached garage,1250,southeast alaska,0,1100,ak,duplex,0
1,1,1,1,1,0,7039645743,58.3628,laundry on site,-134.529,off-street parking,1050,southeast alaska,0,300,ak,apartment,1
1,1,0,1,0,1,7039891236,55.4279,laundry on site,-131.787,off-street parking,900,southeast alaska,0,600,ak,apartment,1
1,1,0,1,0,0,7040842641,58.2756,laundry on site,-134.395,street parking,1850,southeast alaska,0,1100,ak,apartment,1
1,2,0,0,0,0,7032276896,58.283,w/d in unit,-134.41,off-street parking,1250,southeast alaska,0,900,ak,apartment,0
1.5,2,0,0,1,0,7029065407,58.3328,w/d in unit,-134.491,off-street parking,1750,southeast alaska,1,1100,ak,apartment,0
1,1,1,0,1,0,7035430317,58.3231,w/d in unit,-134.481,off-street parking,1150,southeast alaska,0,550,ak,apartment,0
1.5,3,1,0,1,0,7043016115,58.3628,w/d in unit,-134.529,attached garage,2200,southeast alaska,0,1450,ak,duplex,0
1,2,0,1,0,0,7043680982,58.2756,w/d in unit,-134.395,off-street parking,1500,southeast alaska,0,750,ak,condo,0
1,2,1,0,0,0,7044056616,58.2816,w/d in unit,-134.406,carport,1650,southeast alaska,0,794,ak,condo,0
2.5,4,0,0,1,0,7033055381,58.3829,w/d in unit,-134.589,attached garage,2400,southeast alaska,0,2800,ak,house,0
2,3,0,0,0,0,7044926469,58.3836,w/d in unit,-134.57,off-street parking,1550,southeast alaska,1,1500,ak,duplex,0
1,1,0,0,0,0,7039254941,58.2986,laundry in bldg,-134.406,off-street parking,1250,southeast alaska,1,700,ak,apartment,0
1,1,0,0,0,0,7039251129,58.299,laundry in bldg,-134.405,street parking,1200,southeast alaska,1,600,ak,apartment,1
